Name,Edition (code),Price
"Kira, Great Glass-Spinner","(jmp)","$16.12"
"Kird Ape","(3ed)","$0.44"
"Kird Chieftain","(m15)","$0.37"
"Kiri-Onna","(sok)","$0.44"
"Kitchen Finks","(uma)","$1.48"
"Kitchen Imp","(mh2)","$0.30"
"Kitesail Cleric","(znr)","$0.33"
"Kitesail Corsair","(rix)","$0.30"
"Kitesail Freebooter","(xln)","$0.59"
"Kitesail Scout","(bfz)","$0.28"
"Kitesail Skirmisher","(cmr)","$0.30"
"Kithkin Greatheart","(mma)","$0.37"
"Kithkin Harbinger","(lrw)","$0.44"
"Kithkin Healer","(lrw)","$0.36"
"Kithkin Rabble","(shm)","$0.37"
"Kithkin Shielddare","(shm)","$0.36"
"Kithkin Zephyrnaut","(mor)","$0.36"
"Kitsune Blademaster","(chk)","$0.37"
"Kitsune Bonesetter","(sok)","$0.37"
"Kitsune Dawnblade","(sok)","$0.37"
"Kitsune Diviner","(chk)","$0.36"
"Kitsune Healer","(chk)","$0.36"
"Kitsune Loreweaver","(sok)","$0.36"
"Kitsune Palliator","(bok)","$0.39"
"Kitsune Riftwalker","(chk)","$0.36"
"Kjeldoran Dead","(5ed)","$0.36"
"Kjeldoran Escort","(all)","$0.36"
"Kjeldoran Frostbeast","(ice)","$0.37"
"Kjeldoran Gargoyle","(csp)","$0.40"
"Kjeldoran Guard","(ice)","$0.30"
"Kjeldoran Javelineer","(csp)","$0.31"
"Kjeldoran Knight","(ice)","$2.92"
"Kjeldoran Outrider","(csp)","$0.31"
"Kjeldoran Royal Guard","(10e)","$0.65"
"Kjeldoran Skycaptain","(ice)","$0.41"
"Kjeldoran Skyknight","(ice)","$0.34"
"Kjeldoran Warrior","(ice)","$0.36"
"Klothys, God of Destiny","(thb)","$12.17"
"Knight Exemplar","(m11)","$14.81"
"Knight of Autumn","(grn)","$1.90"
"Knight of Cliffhaven","(ddp)","$0.30"
"Knight of Dawn","(tmp)","$0.44"
"Knight of Dusk","(tmp)","$0.44"
"Knight of Glory","(m13)","$0.43"
"Knight of Grace","(dom)","$0.41"
"Knight of Infamy","(m13)","$0.37"
"Knight of Malice","(dom)","$0.47"
"Knight of Meadowgrain","(ddg)","$1.76"
"Knight of New Benalia","(dom)","$0.28"
"Knight of Obligation","(gtc)","$0.37"
"Knight of Old Benalia","(mh1)","$0.33"
"Knight of Sorrows","(rna)","$0.25"
"Knight of Stromgald","(ice)","$0.44"
"Knight of Sursi","(fut)","$0.34"
"Knight of Valor","(vis)","$0.37"
"Knight of the Ebon Legion","(m20)","$2.95"
"Knight of the Holy Nimbus","(tsp)","$0.47"
"Knight of the Keep","(eld)","$0.27"
"Knight of the Last Breath","(rna)","$0.37"
"Knight of the Mists","(vis)","$0.34"
"Knight of the Pilgrim's Road","(ori)","$0.30"
"Knight of the Reliquary","(mma)","$3.56"
"Knight of the Skyward Eye","(a25)","$0.34"
"Knight of the Stampede","(rix)","$0.37"
"Knight of the Tusk","(m19)","$0.30"
"Knight of the White Orchid","(ori)","$1.66"
"Knight-Captain of Eos","(ala)","$4.19"
"Knighted Myr","(mh2)","$0.24"
"Knights of Thorn","(drk)","$24.05"
"Knights of the Black Rose","(cn2)","$0.73"
"Knollspine Dragon","(shm)","$11.10"
"Knollspine Dragon","(shm)","$11.10"
"Knotvine Mystic","(con)","$0.84"
"Knotvine Paladin","(arb)","$0.71"
"Kobolds of Kher Keep","(leg)","$8.31"
"Kodama of the East Tree","(cmr)","$10.00"
"Kogla, the Titan Ape","(iko)","$1.85"
"Kokusho, the Evening Star","(ima)","$29.27"
"Kolaghan Aspirant","(dtk)","$0.30"
"Kolaghan Forerunners","(dtk)","$0.37"
"Kolaghan Skirmisher","(dtk)","$0.30"
"Kolaghan Stormsinger","(dtk)","$0.30"
"Kolaghan, the Storm's Fury","(frf)","$0.99"
"Koll, the Forgemaster","(khm)","$0.37"
"Kolvori, God of Kinship // The Ringhart Crest","(khm)","$0.77"
"Koma's Faithful","(khm)","$0.25"
"Konda's Hatamoto","(chk)","$0.44"
"Kongming, ""Sleeping Dragon""","(a25)","$0.49"
"Kookus","(vis)","$2.65"
"Kopala, Warden of Waves","(xln)","$1.23"
"Kor Aeronaut","(zen)","$0.37"
"Kor Blademaster","(znr)","$0.37"
"Kor Bladewhirl","(bfz)","$0.37"
"Kor Cartographer","(ddi)","$0.47"
"Kor Castigator","(bfz)","$0.27"
"Kor Celebrant","(znr)","$0.28"
"Kor Duelist","(mm2)","$0.43"
"Kor Entanglers","(bfz)","$0.37"
"Kor Firewalker","(a25)","$0.82"
"Kor Hookmaster","(zen)","$0.28"
"Kor Sanctifiers","(c14)","$0.37"
"Kor Scythemaster","(ogw)","$0.27"
"Kor Sky Climber","(ogw)","$0.27"
"Kor Skyfisher","(zen)","$0.44"
"Korlash, Heir to Blackblade","(pfut)","$8.39"
"Korozda Gorgon","(dgm)","$0.37"
"Korozda Guildmage","(rtr)","$0.37"
"Korvold, Fae-Cursed King","(eld)","$17.71"
"Koth's Courier","(mbs)","$0.30"
"Kothophed, Soul Hoarder","(ori)","$0.73"
"Kozilek's Channeler","(bfz)","$0.37"
"Kozilek's Pathfinder","(ogw)","$0.34"
"Kozilek's Predator","(roe)","$0.36"
"Kozilek's Sentinel","(bfz)","$0.31"
"Kozilek's Shrieker","(ogw)","$0.30"
"Kozilek's Translator","(ogw)","$0.28"
"Kozilek, Butcher of Truth","(uma)","$102.26"
"Kozilek, the Great Distortion","(ogw)","$25.18"
"Kragma Warcaller","(ths)","$0.37"
"Kraken Hatchling","(m13)","$0.34"
"Kraken of the Straits","(bng)","$0.55"
"Kranioceros","(con)","$0.34"
"Krark, the Thumbless","(cmr)","$1.48"
"Krark-Clan Grunt","(mrd)","$0.30"
"Krark-Clan Ogre","(5dn)","$0.31"
"Krark-Clan Shaman","(mrd)","$0.74"
"Krark-Clan Stoker","(dst)","$0.37"
"Kraul Foragers","(grn)","$0.25"
"Kraul Harpooner","(grn)","$0.37"
"Kraul Stinger","(war)","$0.31"
"Kraul Swarm","(grn)","$0.36"
"Kraul Warrior","(dgm)","$0.30"
"Kraum, Ludevic's Opus","(c16)","$5.93"
"Krav, the Unredeemed","(bbd)","$7.47"
"Krenko's Enforcer","(m15)","$0.30"
"Krenko, Mob Boss","(m13)","$7.40"
"Krenko, Tin Street Kingpin","(war)","$3.41"
"Kris Mage","(mmq)","$0.34"
"Kronch Wrangler","(war)","$0.28"
"Krond the Dawn-Clad","(pca)","$1.69"
"Krosan Avenger","(ody)","$0.33"
"Krosan Beast","(ody)","$16.30"
"Krosan Cloudscraper","(tsb)","$0.74"
"Krosan Colossus","(a25)","$0.39"
"Krosan Constrictor","(tor)","$0.34"
"Krosan Drover","(scg)","$0.37"
"Krosan Druid","(dom)","$0.30"
"Krosan Tusker","(mh1)","$0.36"
"Krosan Vorine","(lgn)","$0.36"
"Krosan Warchief","(scg)","$0.44"
"Krosan Wayfarer","(jud)","$0.46"
"Krovikan Horror","(all)","$5.01"
"Krovikan Scoundrel","(csp)","$0.30"
"Krovikan Sorcerer","(ice)","$0.33"
"Krovikan Vampire","(ice)","$0.44"
"Kruin Outlaw // Terror of Kruin Pass","(isd)","$8.76"
"Kruin Striker","(avr)","$0.28"
"Krumar Bond-Kin","(ktk)","$0.30"
"Kruphix, God of Horizons","(jou)","$9.56"
"Krydle of Baldur's Gate","(afr)","$0.43"
"Kujar Seedsculptor","(kld)","$0.27"
"Kukemssa Pirates","(mir)","$7.28"
"Kukemssa Serpent","(mir)","$0.31"
"Kuldotha Flamefiend","(2xm)","$0.37"
"Kuldotha Phoenix","(som)","$0.52"
"Kuldotha Ringleader","(mbs)","$0.31"
"Kulrath Knight","(fmb1)","$1.47"
"Kumano's Pupils","(chk)","$0.37"
"Kumano, Master Yamabushi","(chk)","$0.65"
"Kumena's Speaker","(xln)","$0.39"
"Kumena, Tyrant of Orazca","(rix)","$8.61"
"Kunoros, Hound of Athreos","(thb)","$0.86"
"Kuon, Ogre Ascendant // Kuon's Essence","(sok)","$1.69"
"Kurgadon","(scg)","$0.37"
"Kurkesh, Onakke Ancient","(m15)","$0.74"
"Kuro's Taken","(sok)","$0.41"
"Kuro, Pitlord","(dvd)","$0.67"
"Kwain, Itinerant Meddler","(cmr)","$0.61"
"Kwende, Pride of Femeref","(dom)","$0.37"
"Kydele, Chosen of Kruphix","(c16)","$5.48"
"Kykar, Wind's Fury","(m20)","$5.94"
"Kyren Glider","(mmq)","$0.33"
"Kyren Sniper","(mmq)","$0.33"
"Kytheon's Irregulars","(ori)","$0.50"
"Laboratory Brute","(emn)","$0.30"
"Laboratory Drudge","(cmr)","$0.44"
"Laboratory Maniac","(isd)","$6.31"
"Labyrinth Champion","(ths)","$0.49"
"Labyrinth Guardian","(akh)","$0.37"
"Labyrinth Minotaur","(hml)","$0.30"
"Labyrinth Raptor","(iko)","$0.52"
"Laccolith Grunt","(nem)","$0.33"
"Laccolith Titan","(nem)","$0.65"
"Laccolith Warrior","(nem)","$0.37"
"Laccolith Whelp","(nem)","$0.31"
"Lady Evangela","(leg)","$136.34"
"Laelia, the Blade Reforged","(c21)","$11.09"
"Lagac Lizard","(roe)","$0.33"
"Lagonna-Band Elder","(ths)","$0.30"
"Lagonna-Band Storyteller","(thb)","$0.37"
"Lagonna-Band Trailblazer","(jou)","$0.37"
"Lairwatch Giant","(lrw)","$0.34"
"Lambholt Raconteur // Lambholt Ravager","(vow)","$0.37"
"Lampad of Death's Vigil","(thb)","$0.30"
"Lamplighter of Selhoff","(soi)","$0.30"
"Lancer Sliver","(mh1)","$0.37"
"Lancers en-Kor","(sth)","$0.37"
"Land Leeches","(4ed)","$0.30"
"Landscaper Colos","(mh2)","$0.22"
"Lantern Bearer // Lanterns' Lift","(vow)","$0.30"
"Lantern Kami","(chk)","$0.34"
"Lantern Scout","(bfz)","$0.58"
"Lantern Spirit","(isd)","$0.36"
"Laquatus's Champion","(a25)","$0.65"
"Lashweed Lurker","(emn)","$0.37"
"Latch Seeker","(avr)","$0.36"
"Latchkey Faerie","(mor)","$0.37"
"Lathiel, the Bounteous Dawn","(cmr)","$0.74"
"Lathliss, Dragon Queen","(m19)","$5.60"
"Lathnu Hellion","(kld)","$0.47"
"Lathnu Sailback","(aer)","$0.25"
"Lathril, Blade of the Elves","(khc)","$2.49"
"Latulla, Keldon Overseer","(pcy)","$0.64"
"Lava Hounds","(wth)","$0.37"
"Lava Runner","(mmq)","$0.73"
"Lava Serpent","(iko)","$0.28"
"Lava Zombie","(pls)","$0.37"
"Lava-Field Overlord","(bbd)","$0.37"
"Lavabelly Sliver","(mh1)","$0.64"
"Lavaborn Muse","(lgn)","$0.61"
"Lavaborn Muse","(lgn)","$0.61"
"Lavabrink Venturer","(iko)","$0.53"
"Lavacore Elemental","(plc)","$0.37"
"Lavafume Invoker","(roe)","$0.34"
"Lavakin Brawler","(m20)","$0.28"
"Lavastep Raider","(bfz)","$0.30"
"Lavinia of the Tenth","(gk2)","$1.41"
"Lavinia, Azorius Renegade","(rna)","$1.48"
"Law-Rune Enforcer","(war)","$0.30"
"Lawbringer","(nem)","$0.37"
"Lawless Broker","(kld)","$0.28"
"Lazav, Dimir Mastermind","(gtc)","$2.00"
"Lazav, the Multifarious","(grn)","$2.77"
"Lazotep Behemoth","(war)","$0.30"
"Lazotep Chancellor","(mh2)","$0.37"
"Lazotep Reaver","(war)","$0.37"
"Lead Golem","(mir)","$0.37"
"Lead-Belly Chimera","(vis)","$0.37"
"Leaden Myr","(som)","$0.44"
"Leaf Dancer","(ody)","$0.34"
"Leaf Gilder","(lrw)","$0.36"
"Leafcrown Dryad","(ths)","$0.30"
"Leafkin Avenger","(m21)","$0.37"
"Leafkin Druid","(m20)","$0.37"
"League Guildmage","(grn)","$0.37"
"Leapfrog","(grn)","$0.27"
"Leaping Lizard","(hml)","$0.37"
"Leaping Master","(ktk)","$0.30"
"Leashling","(rav)","$0.36"
"Leatherback Baloth","(wwk)","$0.68"
"Ledev Champion","(grn)","$0.37"
"Ledev Guardian","(grn)","$0.22"
"Leech Bonder","(shm)","$0.58"
"Leech Fanatic","(stx)","$0.22"
"Leeching Licid","(tmp)","$0.37"
"Leering Gargoyle","(mir)","$2.34"
"Leery Fogbeast","(ons)","$0.34"
"Legion Angel","(znr)","$1.11"
"Legion Conquistador","(rix)","$0.30"
"Legion Guildmage","(grn)","$0.37"
"Legion Lieutenant","(rix)","$3.04"
"Legion Loyalist","(gtc)","$11.41"
"Legion Vanguard","(mh2)","$0.37"
"Legion Warboss","(grn)","$3.30"
"Legions of Lim-Dul","(cst)","$0.31"
"Lena, Selfless Champion","(m19)","$0.73"
"Leonin Abunas","(2xm)","$2.07"
"Leonin Arbiter","(c17)","$5.34"
"Leonin Armorguard","(arb)","$0.33"
"Leonin Battlemage","(dst)","$0.39"
"Leonin Den-Guard","(mrd)","$0.36"
"Leonin Elder","(mrd)","$0.37"
"Leonin Iconoclast","(jou)","$0.37"
"Leonin Lightscribe","(stx)","$0.87"
"Leonin Relic-Warder","(c17)","$0.65"
"Leonin Skyhunter","(mbs)","$0.36"
"Leonin Snarecaster","(ths)","$0.30"
"Leonin Squire","(5dn)","$0.37"
"Leonin Vanguard","(m19)","$0.41"
"Leonin of the Lost Pride","(thb)","$0.27"
"Leopard-Spotted Jiao","(gs1)","$0.37"
"Leovold's Operative","(cn2)","$0.34"
"Lesser Gargadon","(plist)","$0.37"
"Lesser Masticore","(mh1)","$0.37"
"Leveler","(mrd)","$2.64"
"Leviathan","(5ed)","$0.64"
"Leviathan","(tsb)","$0.47"
"Ley Druid","(4ed)","$0.39"
"Ley Weaver","(bbd)","$0.74"
"Leyline Phantom","(gtc)","$0.30"
"Leyline Prowler","(war)","$0.43"
"Leyline Tyrant","(znr)","$4.52"
"Lhurgoyf","(cm2)","$0.74"
"Liberated Dwarf","(jud)","$0.36"
"Library Larcenist","(m21)","$0.28"
"Lichenthrope","(vis)","$2.90"
"Licia, Sanguine Tribune","(c17)","$13.32"
"Liege of the Axe","(lgn)","$0.37"
"Liege of the Hollows","(wth)","$24.38"
"Liege of the Pit","(tsp)","$0.64"
"Liege of the Tangle","(som)","$2.50"
"Liesa, Shroud of Dusk","(cmr)","$1.05"
"Lieutenants of the Guard","(cn2)","$0.36"
"Lifebane Zombie","(m14)","$0.74"
"Lifeblood Hydra","(c14)","$14.06"
"Lifecraft Cavalry","(aer)","$0.28"
"Lifesmith","(som)","$0.37"
"Lifespinner","(bok)","$0.59"
"Lifespring Druid","(bfz)","$0.28"
"Light of the Legion","(grn)","$0.65"
"Lightbringer","(nem)","$0.34"
"Lightfoot Rogue","(afr)","$0.33"
"Lightkeeper of Emeria","(cma)","$0.49"
"Lightning Angel","(tsb)","$0.74"
"Lightning Berserker","(dtk)","$0.39"
"Lightning Crafter","(mor)","$5.93"
"Lightning Dragon","(usg)","$14.33"
"Lightning Elemental","(tmp)","$0.30"
"Lightning Hounds","(mmq)","$0.37"
"Lightning Mare","(m19)","$0.37"
"Lightning Mauler","(avr)","$0.37"
"Lightning Phoenix","(jmp)","$0.73"
"Lightning Reaver","(arb)","$1.30"
"Lightning Runner","(aer)","$1.19"
"Lightning Serpent","(csp)","$1.97"
"Lightning Shrieker","(frf)","$0.31"
"Lightning Shrieker","(jmp)","$0.30"
"Lightning Skelemental","(mh1)","$1.90"
"Lightning Stormkin","(m20)","$0.37"
"Lightning Visionary","(jmp)","$0.36"
"Lightning Wolf","(vow)","$0.22"
"Lightning-Core Excavator","(jmp)","$0.37"
"Lightning-Rig Crew","(xln)","$0.37"
"Lightwalker","(jmp)","$0.30"
"Lightwielder Paladin","(e01)","$0.58"
"Liliana's Devotee","(m21)","$0.37"
"Liliana's Elite","(emn)","$0.37"
"Liliana's Reaver","(m14)","$1.48"
"Liliana's Shade","(m13)","$0.30"
"Liliana's Specter","(cns)","$0.43"
"Liliana's Standard Bearer","(m21)","$0.74"
"Liliana's Steward","(m21)","$0.30"
"Liliana, Heretical Healer // Liliana, Defiant Necromancer","(ori)","$28.26"
"Lim-Dul the Necromancer","(tsp)","$2.99"
"Lim-Dul's Cohort","(ice)","$0.31"
"Lim-Dul's High Guard","(all)","$0.34"
"Lim-Dul's Paladin","(all)","$0.40"
"Limestone Golem","(ody)","$0.36"
"Lin Sivvi, Defiant Hero","(nem)","$4.28"
"Linden, the Steadfast Queen","(eld)","$0.74"
"Linessa, Zephyr Mage","(fut)","$0.74"
"Lingering Phantom","(dom)","$0.37"
"Lingering Tormentor","(eve)","$0.50"
"Linvala, Keeper of Silence","(jmp)","$21.55"
"Linvala, Shield of Sea Gate","(znr)","$0.65"
"Linvala, the Preserver","(ogw)","$1.48"
"Lionheart Maverick","(ddg)","$0.36"
"Lithatog","(ody)","$0.37"
"Lithophage","(ddi)","$0.55"
"Littjara Glade-Warden","(khm)","$0.33"
"Littjara Kinseekers","(khm)","$0.22"
"Living Airship","(apc)","$0.34"
"Living Hive","(mrd)","$0.82"
"Living Inferno","(gpt)","$0.64"
"Living Lightning","(jmp)","$0.37"
"Living Lore","(uma)","$0.37"
"Living Tempest","(znr)","$0.22"
"Living Totem","(m15)","$0.30"
"Living Tsunami","(zen)","$0.36"
"Living Twister","(war)","$0.59"
"Living Wall","(3ed)","$0.73"
"Livio, Oathsworn Sentinel","(cmr)","$1.19"
"Lizard Warrior","(cns)","$0.30"
"Llanowar Augur","(fut)","$0.37"
"Llanowar Behemoth","(wth)","$0.37"
"Llanowar Cavalry","(inv)","$0.34"
"Llanowar Dead","(apc)","$0.37"
"Llanowar Druid","(wth)","$0.39"
"Llanowar Elite","(inv)","$0.36"
"Llanowar Elves","(m12)","$0.55"
"Llanowar Empath","(ori)","$0.30"
"Llanowar Envoy","(dom)","$0.28"
"Llanowar Knight","(inv)","$0.36"
"Llanowar Mentor","(fut)","$0.71"
"Llanowar Mentor","(tsr)","$0.37"
"Llanowar Scout","(dom)","$0.43"
"Llanowar Sentinel","(10e)","$0.30"
"Llanowar Tribe","(mh1)","$0.74"
"Llanowar Vanguard","(inv)","$0.33"
"Llanowar Visionary","(m21)","$0.37"
"Llawan, Cephalid Empress","(tor)","$2.96"
"Loafing Giant","(inv)","$0.65"
"Loam Dryad","(soi)","$0.31"
"Loam Larva","(ogw)","$0.28"
"Loam Lion","(wwk)","$0.71"
"Loamdragger Giant","(shm)","$0.34"
"Loaming Shaman","(m20)","$0.37"
"Loathsome Catoblepas","(ths)","$0.30"
"Loathsome Chimera","(thb)","$0.27"
"Loathsome Curator","(mh2)","$0.25"
"Loathsome Troll","(afr)","$0.30"
"Lobber Crew","(rtr)","$0.30"
"Loch Dragon","(eld)","$0.37"
"Loch Korrigan","(shm)","$0.33"
"Lockjaw Snapper","(shm)","$1.78"
"Locthwain Gargoyle","(eld)","$0.24"
"Locthwain Paladin","(eld)","$0.27"
"Locust Miser","(sok)","$3.56"
"Locust Swarm","(mir)","$0.37"
"Lodestone Golem","(arc)","$2.34"
"Lodestone Myr","(mrd)","$0.70"
"Lone Missionary","(mm3)","$0.37"
"Lone Revenant","(avr)","$0.52"
"Lone Wolf","(7ed)","$0.36"
"Long-Finned Skywhale","(kld)","$0.36"
"Longbow Archer","(vis)","$0.47"
"Longhorn Firebeast","(tor)","$0.34"
"Longshot Squad","(ktk)","$0.36"
"Longtusk Cub","(kld)","$0.37"
"Lonis, Cryptozoologist","(mh2)","$0.71"
"Lonis, Cryptozoologist","(mh2)","$0.74"
"Looming Altisaur","(xln)","$0.31"
"Looming Hoverguard","(mrd)","$0.37"
"Looming Shade","(usg)","$0.34"
"Looter il-Kor","(tsr)","$0.37"
"Lord of Atlantis","(4ed)","$13.96"
"Bloodline Keeper // Lord of Lineage","(isd)","$39.79"
"Lord of Shatterskull Pass","(proe)","$1.20"
"Lord of Tresserhorn","(all)","$11.11"
"Lord of the Accursed","(akh)","$1.44"
"Lord of the Pit","(ddc)","$1.22"
"Lord of the Undead","(8ed)","$31.67"
"Lord of the Void","(gtc)","$19.28"
"Lore Broker","(rav)","$0.55"
"Lore Drakkis","(iko)","$0.37"
"Lore Seeker","(cns)","$0.73"
"Lore Weaver","(bbd)","$0.39"
"Lorehold Apprentice","(stx)","$0.36"
"Lorehold Pledgemage","(stx)","$0.22"
"Lorescale Coatl","(a25)","$0.39"
"Lorthos, the Tidemaker","(zen)","$4.68"
"Lost Auramancers","(tsr)","$0.37"
"Lost Legion","(eld)","$0.28"
"Lost Leonin","(nph)","$0.37"
"Lost Order of Jarkeld","(ice)","$0.71"
"Lost Soul","(4ed)","$0.31"
"Lotleth Giant","(grn)","$0.37"
"Lotleth Troll","(gk1)","$0.87"
"Lotus Cobra","(ima)","$5.85"
"Lotus Guardian","(inv)","$0.71"
"Lotus Path Djinn","(frf)","$0.30"
"Lotus-Eye Mystics","(uma)","$0.34"
"Lovisa Coldeyes","(csp)","$4.45"
"Lowland Basilisk","(sth)","$0.34"
"Lowland Giant","(tmp)","$0.33"
"Lowland Oaf","(lrw)","$0.36"
"Lowland Tracker","(lgn)","$0.36"
"Loxodon Anchorite","(5dn)","$0.30"
"Loxodon Convert","(nph)","$0.31"
"Loxodon Gatekeeper","(rav)","$4.89"
"Loxodon Hierarch","(gk1)","$0.74"
"Loxodon Lifechanter","(m20)","$0.49"
"Loxodon Line Breaker","(m19)","$0.30"
"Loxodon Mender","(mrd)","$0.36"
"Loxodon Mystic","(dst)","$0.33"
"Loxodon Partisan","(mbs)","$0.30"
"Loxodon Peacekeeper","(mrd)","$0.55"
"Loxodon Restorer","(grn)","$0.22"
"Loxodon Sergeant","(war)","$0.27"
"Loxodon Smiter","(rtr)","$0.77"
"Loxodon Stalwart","(5dn)","$0.37"
"Loxodon Wayfarer","(som)","$0.30"
"Loyal Apprentice","(c18)","$1.60"
"Loyal Gryff","(mid)","$0.30"
"Loyal Guardian","(c18)","$5.22"
"Loyal Gyrfalcon","(eve)","$0.37"
"Loyal Pegasus","(bng)","$0.33"
"Loyal Retainers","(cm1)","$66.68"
"Loyal Sentry","(a25)","$0.37"
"Loyal Subordinate","(c18)","$2.22"
"Loyal Unicorn","(plist)","$0.73"
"Lu Bu, Master-at-Arms","(pptk)","$222.29"
"Lu Xun, Scholar General","(cma)","$0.68"
"Lucent Liminid","(fut)","$0.37"
"Ludevic's Test Subject // Ludevic's Abomination","(isd)","$0.73"
"Ludevic's Test Subject // Ludevic's Abomination","(isd)","$0.73"
"Ludevic, Necro-Alchemist","(c16)","$4.00"
"Lullmage's Familiar","(znr)","$0.36"
"Lumbering Battlement","(rna)","$0.52"
"Lumbering Satyr","(mmq)","$0.41"
"Lumberknot","(isd)","$0.36"
"Lumengrid Augur","(mrd)","$0.52"
"Lumengrid Drake","(som)","$0.30"
"Lumengrid Gargoyle","(mbs)","$0.36"
"Lumengrid Sentinel","(mrd)","$0.37"
"Lumengrid Warden","(mrd)","$0.31"
"Luminate Primordial","(gtc)","$0.68"
"Luminous Angel","(mrd)","$0.74"
"Luminous Broodmoth","(iko)","$13.12"
"Luminous Guardian","(ody)","$0.37"
"Lunar Avenger","(plist)","$0.00"
"Lunar Mystic","(avr)","$0.50"
"Avacynian Missionaries // Lunarch Inquisitors","(soi)","$0.37"
"Lunk Errant","(mor)","$0.33"
"Lupine Prototype","(emn)","$0.73"
"Lurching Rotbeast","(hou)","$0.30"
"Lurebound Scarecrow","(shm)","$0.74"
"Lurker","(drk)","$15.43"
"Lurking Arynx","(dtk)","$0.37"
"Lurking Automaton","(cns)","$0.34"
"Lurking Chupacabra","(xln)","$0.37"
"Lurking Crocodile","(m12)","$0.31"
"Lurking Deadeye","(iko)","$0.28"
"Lurking Informant","(rav)","$0.37"
"Lurking Nightstalker","(p02)","$0.37"
"Lurking Roper","(afr)","$0.31"
"Lurrus of the Dream-Den","(iko)","$10.67"
"Lutri, the Spellchaser","(iko)","$0.73"
"Lyev Skyknight","(rtr)","$0.37"
"Lymph Sliver","(fut)","$0.37"
"Lynx","(p02)","$0.77"
"Lyra Dawnbringer","(dom)","$17.71"
"Lys Alana Bowmaster","(mor)","$0.36"
"Lys Alana Huntmaster","(ema)","$0.56"
"Lys Alana Scarblade","(ema)","$0.41"
"Lys Alana Scarblade","(lrw)","$0.37"
"Lyzolda, the Blood Witch","(gk2)","$0.79"
"Maalfeld Twins","(avr)","$0.36"
"Macetail Hystrodon","(lgn)","$0.31"
"Mad Auntie","(mma)","$0.82"
"Mad Dog","(ody)","$0.34"
"Mad Prophet","(soi)","$0.37"
"Mad Ratter","(eld)","$0.37"
"Maddening Imp","(tmp)","$3.32"
"Madrush Cyclops","(arb)","$0.59"
"Maelstrom Archangel","(con)","$4.98"
"Maelstrom Colossus","(cmr)","$0.33"
"Maelstrom Djinn","(fut)","$0.68"
"Maelstrom Muse","(stx)","$0.34"
"Maelstrom Wanderer","(cm1)","$25.18"
"Maga, Traitor to Mortals","(sok)","$5.35"
"Mage Hunter","(stx)","$0.37"
"Mage il-Vec","(exo)","$0.34"
"Mage-Ring Bully","(ori)","$0.30"
"Mage-Ring Responder","(ori)","$0.56"
"Mageta the Lion","(pcy)","$1.48"
"Maggot Carrier","(8ed)","$0.36"
"Magister Sphinx","(con)","$5.41"
"Magister of Worth","(pcns)","$0.84"
"Magma Giant","(cm2)","$0.46"
"Magma Giant","(cm2)","$0.46"
"Magma Hellion","(bbd)","$0.36"
"Magma Phoenix","(m10)","$0.58"
"Magma Pummeler","(vow)","$0.30"
"Magmaroth","(hou)","$0.37"
"Magmasaur","(tmp)","$0.74"
"Magmatic Channeler","(znr)","$1.11"
"Magmatic Force","(bbd)","$0.76"
"Magmaw","(uma)","$0.37"
"Magnigoth Treefolk","(pls)","$0.74"
"Magnivore","(ody)","$0.65"
"Magus of the Abyss","(c17)","$0.70"
"Magus of the Abyss","(c17)","$0.70"
"Magus of the Arena","(c13)","$0.58"
"Magus of the Arena","(c13)","$0.58"
"Magus of the Balance","(c18)","$0.74"
"Magus of the Bazaar","(uma)","$0.74"
"Magus of the Bridge","(mh2)","$0.50"
"Magus of the Candelabra","(bbd)","$1.67"
"Magus of the Coffers","(plc)","$10.82"
"Magus of the Disk","(tsp)","$1.47"
"Magus of the Future","(fut)","$1.51"
"Magus of the Library","(plc)","$0.79"
"Magus of the Mind","(c17)","$0.70"
"Magus of the Mirror","(cns)","$0.77"
"Magus of the Moat","(fut)","$7.42"
"Magus of the Moon","(tsr)","$6.31"
"Magus of the Order","(cmr)","$0.67"
"Magus of the Scroll","(tsp)","$0.64"
"Magus of the Unseen","(ice)","$1.04"
"Magus of the Vineyard","(fut)","$6.74"
"Magus of the Wheel","(c19)","$1.35"
"Magus of the Will","(c16)","$1.11"
"Mahamoti Djinn","(uma)","$0.37"
"Maja, Bretagard Protector","(khm)","$0.37"
"Majestic Auricorn","(iko)","$0.37"
"Majestic Heliopterus","(rix)","$0.41"
"Majestic Myriarch","(hou)","$1.11"
"Makeshift Battalion","(war)","$0.24"
"Makeshift Mauler","(isd)","$0.28"
"Makindi Aeronaut","(ogw)","$0.25"
"Makindi Griffin","(roe)","$0.33"
"Makindi Ox","(znr)","$0.24"
"Makindi Patrol","(bfz)","$0.31"
"Makindi Shieldmate","(zen)","$0.30"
"Makindi Sliderunner","(bfz)","$0.30"
"Malach of the Dawn","(plc)","$0.37"
"Malach of the Dawn","(plc)","$0.37"
"Malachite Golem","(mrd)","$0.33"
"Malakir Blood-Priest","(znr)","$0.30"
"Malakir Bloodwitch","(c17)","$2.64"
"Malakir Cullblade","(ori)","$0.46"
"Malakir Familiar","(bfz)","$0.37"
"Malakir Soothsayer","(ogw)","$0.37"
"Malcolm, Keen-Eyed Navigator","(cmr)","$0.37"
"Malevolent Noble","(eld)","$0.25"
"Malfegor","(ima)","$0.99"
